Iterations,Accuracy
0,0.0793651
1,0.349206
2,0.349206
3,0.349206
4,0.460317
5,0.460317
6,0.460317
7,0.460317
8,0.460317
9,0.460317
10,0.460317
11,0.460317
12,0.460317
13,0.460317
14,0.460317
15,0.460317
16,0.460317
17,0.460317
18,0.460317
19,0.460317
20,0.460317
21,0.460317
22,0.460317
23,0.460317
24,0.460317
25,0.460317
26,0.460317
27,0.460317
28,0.460317
29,0.460317
30,0.460317
31,0.444444
32,0.428571
33,0.428571
34,0.428571
35,0.428571
36,0.428571
37,0.428571
38,0.428571
39,0.428571
40,0.428571
41,0.428571
42,0.428571
43,0.428571
44,0.428571
45,0.428571
46,0.444444
47,0.444444
48,0.444444
49,0.444444
50,0.444444
51,0.444444
52,0.444444
53,0.444444
54,0.444444
55,0.444444
56,0.444444
57,0.444444
58,0.444444
59,0.444444
60,0.444444
61,0.444444
62,0.444444
63,0.444444
64,0.444444
65,0.444444
66,0.444444
67,0.444444
68,0.428571
69,0.428571
70,0.428571
71,0.428571
72,0.428571
73,0.428571
74,0.428571
75,0.412698
76,0.412698
77,0.412698
78,0.412698
79,0.412698
80,0.396825
81,0.396825
82,0.396825
83,0.396825
84,0.396825
85,0.396825
86,0.396825
87,0.396825
88,0.396825
89,0.396825
90,0.412698
91,0.412698
92,0.412698
93,0.412698
94,0.412698
95,0.412698
96,0.412698
97,0.412698
98,0.412698
99,0.412698
100,0.412698
101,0.412698
102,0.412698
103,0.412698
104,0.428571
105,0.428571
106,0.428571
107,0.428571
108,0.428571
109,0.428571
110,0.428571
111,0.428571
112,0.428571
113,0.428571
114,0.428571
115,0.444444
116,0.444444
117,0.444444
118,0.444444
119,0.444444
120,0.460317
121,0.460317
122,0.460317
123,0.460317
124,0.460317
125,0.460317
126,0.460317
127,0.460317
128,0.460317
129,0.460317
130,0.460317
131,0.460317
132,0.460317
133,0.460317
134,0.460317
135,0.460317
136,0.460317
137,0.460317
138,0.460317
139,0.460317
140,0.460317
141,0.460317
142,0.460317
143,0.460317
144,0.460317
145,0.460317
146,0.460317
147,0.460317
148,0.460317
149,0.460317
150,0.460317
151,0.460317
152,0.460317
153,0.460317
154,0.460317
155,0.460317
156,0.460317
157,0.460317
158,0.460317
159,0.47619
160,0.47619
161,0.47619
162,0.47619
163,0.47619
164,0.47619
165,0.47619
166,0.47619
167,0.47619
168,0.47619
169,0.47619
170,0.47619
171,0.47619
172,0.47619
173,0.47619
174,0.47619
175,0.47619
176,0.47619
177,0.47619
178,0.47619
179,0.47619
180,0.47619
181,0.47619
182,0.47619
183,0.47619
184,0.47619
185,0.47619
186,0.47619
187,0.47619
188,0.47619
189,0.47619
190,0.47619
191,0.47619
192,0.47619
193,0.47619
194,0.47619
195,0.47619
196,0.47619
197,0.47619
198,0.47619
199,0.47619
200,0.47619
201,0.47619
202,0.47619
203,0.47619
204,0.47619
205,0.47619
206,0.47619
207,0.47619
208,0.47619
209,0.47619
210,0.47619
211,0.47619
212,0.47619
213,0.47619
214,0.47619
215,0.47619
216,0.47619
217,0.47619
218,0.47619
219,0.47619
220,0.47619
221,0.47619
222,0.47619
223,0.47619
224,0.47619
225,0.47619
226,0.47619
227,0.47619
228,0.47619
229,0.47619
230,0.47619
231,0.47619
232,0.47619
233,0.47619
234,0.47619
235,0.47619
236,0.47619
237,0.47619
238,0.47619
239,0.47619
240,0.47619
241,0.47619
242,0.47619
243,0.47619
244,0.47619
245,0.460317
246,0.460317
247,0.460317
248,0.460317
249,0.460317
250,0.460317
251,0.460317
252,0.460317
253,0.460317
254,0.460317
255,0.460317
256,0.460317
257,0.460317
258,0.460317
259,0.460317
260,0.460317
261,0.460317
262,0.444444
263,0.444444
264,0.444444
265,0.444444
266,0.444444
267,0.444444
268,0.444444
269,0.444444
270,0.444444
271,0.444444
272,0.444444
273,0.444444
274,0.444444
275,0.444444
276,0.444444
277,0.444444
278,0.444444
279,0.444444
280,0.444444
281,0.444444
282,0.444444
283,0.444444
284,0.444444
285,0.444444
286,0.444444
287,0.444444
288,0.444444
289,0.444444
290,0.444444
291,0.444444
292,0.444444
293,0.444444
294,0.444444
295,0.444444
296,0.444444
297,0.444444
298,0.444444
299,0.444444
300,0.444444
301,0.444444
302,0.444444
303,0.444444
304,0.444444